ID,Work Item Type,Title,Title,Title,Description,Assigned To,Business Owner,Business Process Lead,Area Path,Tags,State,Priority,Risk,Effort,Business Value,Time Criticality,Business Outcome Category,Value Area,Process Sequence ID,Discipline
,Epic,Plan and budget assets,,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10,
,Feature,,Classify assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.010,
,User Story,,,Define asset types and subtypes,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.010.100,
,User Story,,,Define asset major types,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.010.200,
,User Story,,,Define asset property groups,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.010.300,
,User Story,,,Define asset reporting fields,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.010.400,
,User Story,,,Classify asset leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.010.500,
,Feature,,Define sourcing strategy for assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.020,
,User Story,,,Determine which assets to lease,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.020.100,
,User Story,,,Determine acquisition methods for assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.020.200,
,User Story,,,Create a project for capital assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.020.300,
,Feature,,Define budget for capital assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.030,
,User Story,,,Use budgets to estimate capital assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.030.100,
,User Story,,,Use projects to estimate capital assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.030.200,
,Feature,,Reallocate budget for existing capital assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.040,
,User Story,,,Reallocate budget for existing capital assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.040.100,
,Feature,,Budget for leased assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.050,
,User Story,,,Budget for leased assets using the budgeting module,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.050.100,
,User Story,,,Budget for leased assets using external systems,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.050.200,
,Feature,,Define leasing policies,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.060,
,User Story,,,Define lease books for GAAP,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.060.100,
,User Story,,,Define lease books for IFRS,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.060.200,
,User Story,,,Define leasing policies,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.060.300,
,Feature,,Establish and define lease contracts,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.070,
,User Story,,,Define lease contracts for long-term leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.070.100,
,User Story,,,Define lease contracts for low value leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.070.200,
,User Story,,,Define lease contracts for operational leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.070.300,
,User Story,,,Define lease contracts for short-term leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.070.400,
,User Story,,,Deine lease contracts for financial leases,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.070.500,
,Feature,,Impair a lease agreement,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.080,
,User Story,,,Cancel a lease agreement,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.080.100,
,User Story,,,Amend a lease agreement,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.080.200,
,User Story,,,Modify a lease agreement,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.080.300,
,User Story,,,Reject a lease agreement,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.080.400,
,User Story,,,Surrender a lease agreement,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.080.500,
,User Story,,,Terminate a lease agreement,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.080.600,
,Feature,,Request budget for capital assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.090,
,User Story,,,Request budget for capital assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.090.100,
,User Story,,,Review and approve requests for capital assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.090.200,
,Feature,,Define resources for capital assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.100,
,User Story,,,Define resources for capital assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.100.100,
,Feature,,Define asset depreciation policies,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.110,
,User Story,,,"Define depreciation profiles, consumption depreciations, and parameters.",,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.110.100,
,Feature,,Create maintenance budget,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.120,
,User Story,,,Calculate replacement costs,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.120.100,
,User Story,,,Plan asset maintenance and repair costs,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.10.120.200,
,Epic,Acquire assets,,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20,
,Feature,,Source assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.010,
,User Story,,,Source the asset through a P-Card purchase,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.010.100,
,User Story,,,Source the asset through a purchase order process,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.010.200,
,User Story,,,Source the asset through a purchase requisition process,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.010.300,
,User Story,,,Source the asset through an RFQ process,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.010.400,
,User Story,,,Source the asset through engineering processes,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.010.500,
,User Story,,,Source the asset through manual processes,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.010.600,
,Feature,,Receive assets,,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.020,
,User Story,,,Post a purchase order receipt,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.020.100,
,User Story,,,Receive assets thorugh a General jounral,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.020.200,
,User Story,,,Receive assets through a Fixed assets journal,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.020.300,
,User Story,,,Use account payable invoice journals to receive an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.020.400,
,User Story,,,Use acquisition proposals to automatically acquire assets,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.020.500,
,Feature,,Register assets (place an asset into service),,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.030,
,User Story,,,Convert inventory to an asset by renting out an asset,,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.030.100,
,User Story,,,Convert inventory to an asset by taking inventory to use internally (what I produce/buy is also a capital asset),,,,,DevOps Product Catalog Working Instance\Acquire to dispose,,New,1,,,,,,Business,10.20.030.200,
